Inserted List,ORF Name,Gene Name
YPL094C,YPL094C,SEC62
YPL095C,YPL095C,EEB1
YPL096W,YPL096W,PNG1
YPL097W,YPL097W,MSY1
YPL098C,YPL098C,MGR2
YPL099C,YPL099C,INA17
YPL100W,YPL100W,ATG21
YPL101W,YPL101W,ELP4
YPL102C,YPL102C,YPL102C
YPL103C,YPL103C,FMP30
YPL104W,YPL104W,MSD1
YPL105C,YPL105C,SYH1
YPL106C,YPL106C,SSE1
YPL107W,YPL107W,YPL107W
YPL108W,YPL108W,YPL108W
YPL109C,YPL109C,YPL109C
YPL110C,YPL110C,GDE1
YPL111W,YPL111W,CAR1
YPL112C,YPL112C,PEX25
YPL113C,YPL113C,YPL113C
YPL114W,YPL114W,YPL114W
YPL115C,YPL115C,BEM3
YPL116W,YPL116W,HOS3
YPL117C,YPL117C,IDI1
YPL118W,YPL118W,MRP51
YPL119C,YPL119C,DBP1
YPL120W,YPL120W,VPS30
YPL121C,YPL121C,MEI5
YPL122C,YPL122C,TFB2
YPL123C,YPL123C,RNY1
YPL124W,YPL124W,SPC29
YPL125W,YPL125W,KAP120
YPL126W,YPL126W,NAN1
YPL127C,YPL127C,HHO1
YPL128C,YPL128C,TBF1
YPL129W,YPL129W,TAF14
YPL130W,YPL130W,SPO19
YPL131W,YPL131W,RPL5
YPL132W,YPL132W,COX11
YPL133C,YPL133C,RDS2
YPL134C,YPL134C,ODC1
YPL135W,YPL135W,ISU1
YPL136W,YPL136W,YPL136W
YPL137C,YPL137C,GIP3
YPL138C,YPL138C,SPP1
YPL139C,YPL139C,UME1
YPL140C,YPL140C,MKK2
YPL141C,YPL141C,FRK1
YPL142C,YPL142C,YPL142C
YPL143W,YPL143W,RPL33a
YPL144W,YPL144W,POC4
YPL145C,YPL145C,KES1
YPL146C,YPL146C,NOP53
YPL147W,YPL147W,PXA1
YPL148C,YPL148C,PPT2
YPL149W,YPL149W,ATG5
YPL150W,YPL150W,YPL150W
YPL151C,YPL151C,PRP46
YPL152W,YPL152W,RRD2
YPL153C,YPL153C,RAD53
YPL154C,YPL154C,PEP4
YPL155C,YPL155C,KIP2
YPL156C,YPL156C,PRM4
YPL157W,YPL157W,TGS1
YPL158C,YPL158C,AIM44
YPL159C,YPL159C,PET20
YPL160W,YPL160W,CDC60
YPL161C,YPL161C,BEM4
YPL162C,YPL162C,YPL162C
YPL163C,YPL163C,SVS1
YPL164C,YPL164C,MLH3
YPL165C,YPL165C,SET6
YPL166W,YPL166W,ATG29
YPL167C,YPL167C,REV3
YPL168W,YPL168W,MRX4
YPL169C,YPL169C,MEX67
YPL170W,YPL170W,DAP1
YPL171C,YPL171C,OYE3
YPL172C,YPL172C,COX10
YPL173W,YPL173W,MRPL40
YPL174C,YPL174C,NIP100
YPL175W,YPL175W,SPT14
YPL176C,YPL176C,TRE1
YPL177C,YPL177C,CUP9
YPL178W,YPL178W,CBC2
YPL179W,YPL179W,PPQ1
YPL180W,YPL180W,TCO89
YPL181W,YPL181W,CTI6
YPL182C,YPL182C,YPL182C
YPL183C,YPL183C,RTT10
YPL184C,YPL184C,MRN1
YPL185W,YPL185W,YPL185W
YPL186C,YPL186C,UIP4
YPL187W,YPL187W,MF(ALPHA)1
YPL188W,YPL188W,POS5
YPL189W,YPL189W,GUP2
YPL190C,YPL190C,NAB3
YPL191C,YPL191C,YPL191C
YPL192C,YPL192C,PRM3
YPL193W,YPL193W,RSA1
YPL194W,YPL194W,DDC1
YPL195W,YPL195W,APL5
YPL196W,YPL196W,OXR1
YPL197C,YPL197C,YPL197C
YPL198W,YPL198W,RPL7b
YPL199C,YPL199C,YPL199C
YPL200W,YPL200W,CSM4
YPL201C,YPL201C,YIG1
YPL202C,YPL202C,AFT2
YPL203W,YPL203W,TPK2
YPL204W,YPL204W,HRR25
YPL205C,YPL205C,YPL205C
YPL206C,YPL206C,PGC1
YPL207W,YPL207W,TYW1
YPL208W,YPL208W,RKM1
YPL209C,YPL209C,IPL1
YPL210C,YPL210C,SRP72
YPL211W,YPL211W,NIP7
YPL212C,YPL212C,PUS1
YPL213W,YPL213W,LEA1
YPL214C,YPL214C,THI6
YPL215W,YPL215W,CBP3
YPL216W,YPL216W,YPL216W
YPL217C,YPL217C,BMS1
YPL218W,YPL218W,SAR1
YPL219W,YPL219W,PCL8
YPL220W,YPL220W,RPL1a
YPL221W,YPL221W,FLC1
YPL222W,YPL222W,FMP40
YPL223C,YPL223C,GRE1
YPL224C,YPL224C,MMT2
YPL225W,YPL225W,YPL225W
YPL226W,YPL226W,NEW1
YPL227C,YPL227C,ALG5
YPL228W,YPL228W,CET1
YPL229W,YPL229W,YPL229W
YPL230W,YPL230W,USV1
YPL231W,YPL231W,FAS2
YPL232W,YPL232W,SSO1
YPL233W,YPL233W,NSL1
YPL234C,YPL234C,VMA11
YPL235W,YPL235W,RVB2
YPL236C,YPL236C,ENV7
YPL237W,YPL237W,SUI3
YPL238C,YPL238C,YPL238C
YPL239W,YPL239W,YAR1
YPL240C,YPL240C,HSP82
YPL241C,YPL241C,CIN2
YPL242C,YPL242C,IQG1
YPL243W,YPL243W,SRP68
YPL244C,YPL244C,HUT1
YPL245W,YPL245W,YPL245W
YPL246C,YPL246C,RBD2
YPL247C,YPL247C,YPL247C
YPL248C,YPL248C,GAL4
YPL249C,YPL249C,GYP5
YPL250C,YPL250C,ATG41
