Inserted List,,ORF Name,Gene Name
YDL009C,,YDL009C,YDL009C
APC11,,YDL008W,APC11
RPT2,,YDL007W,RPT2
PTC1,,YDL006W,PTC1
MED2,,YDL005C,MED2
ATP16,,YDL004W,ATP16
MCD1,,YDL003W,MCD1
NHP10,,YDL002C,NHP10
RMD1,,YDL001W,RMD1
NTH1,,YDR001C,NTH1
YRB1,,YDR002W,YRB1
RCR2,,YDR003W,RCR2
RAD57,,YDR004W,RAD57
MAF1,,YDR005C,MAF1
SOK1,,YDR006C,SOK1
TRP1,,YDR007W,TRP1
YDR008C,,YDR008C,YDR008C
GAL3,,YDR009W,GAL3
YDR010C,,YDR010C,YDR010C
SNQ2,,YDR011W,SNQ2
RPL4b,,YDR012W,RPL4b
PSF1,,YDR013W,PSF1
RAD61,,YDR014W,RAD61
YDR015C,,YDR015C,YDR015C
DAD1,,YDR016C,DAD1
KCS1,,YDR017C,KCS1
YDR018C,,YDR018C,YDR018C
GCV1,,YDR019C,GCV1
DAS2,,YDR020C,DAS2
FAL1,,YDR021W,FAL1
ATG31,,YDR022C,ATG31
SES1,,YDR023W,SES1
FYV1,,YDR024W,FYV1
RPS11a,,YDR025W,RPS11a
NSI1,,YDR026C,NSI1
VPS54,,YDR027C,VPS54
REG1,,YDR028C,REG1
YDR029W,,YDR029W,YDR029W
RAD28,,YDR030C,RAD28
MIX14,,YDR031W,MIX14
PST2,,YDR032C,PST2
MRH1,,YDR033W,MRH1
LYS14,,YDR034C,LYS14
YDR034C-A,,YDR034C-A,YDR034C-A
YDR034W-B,,YDR034W-B,YDR034W-B
ARO3,,YDR035W,ARO3
EHD3,,YDR036C,EHD3
KRS1,,YDR037W,KRS1
ENA5,,YDR038C,ENA5
ENA2,,YDR039C,ENA2
ENA1,,YDR040C,ENA1
RSM10,,YDR041W,RSM10
YDR042C,,YDR042C,YDR042C
NRG1,,YDR043C,NRG1
HEM13,,YDR044W,HEM13
RPC11,,YDR045C,RPC11
BAP3,,YDR046C,BAP3
HEM12,,YDR047W,HEM12
YDR048C,,YDR048C,YDR048C
VMS1,,YDR049W,VMS1
TPI1,,YDR050C,TPI1
DET1,,YDR051C,DET1
DBF4,,YDR052C,DBF4
YDR053W,,YDR053W,YDR053W
CDC34,,YDR054C,CDC34
PST1,,YDR055W,PST1
EMC10,,YDR056C,EMC10
YOS9,,YDR057W,YOS9
TGL2,,YDR058C,TGL2
UBC5,,YDR059C,UBC5
MAK21,,YDR060W,MAK21
YDR061W,,YDR061W,YDR061W
LCB2,,YDR062W,LCB2
AIM7,,YDR063W,AIM7
RPS13,,YDR064W,RPS13
RRG1,,YDR065W,RRG1
RTR2,,YDR066C,RTR2
OCA6,,YDR067C,OCA6
DOS2,,YDR068W,DOS2
DOA4,,YDR069C,DOA4
FMP16,,YDR070C,FMP16
PAA1,,YDR071C,PAA1
IPT1,,YDR072C,IPT1
SNF11,,YDR073W,SNF11
TPS2,,YDR074W,TPS2
PPH3,,YDR075W,PPH3
RAD55,,YDR076W,RAD55
SED1,,YDR077W,SED1
SHU2,,YDR078C,SHU2
PET100,,YDR079W,PET100
TFB5,,YDR079C-A,TFB5
VPS41,,YDR080W,VPS41
PDC2,,YDR081C,PDC2
STN1,,YDR082W,STN1
RRP8,,YDR083W,RRP8
TVP23,,YDR084C,TVP23
AFR1,,YDR085C,AFR1
SSS1,,YDR086C,SSS1
RRP1,,YDR087C,RRP1
SLU7,,YDR088C,SLU7
